names,labels
train/benign/9 Benign Image.png,0
train/benign/22 Benign Image.png,0
train/benign/83 Benign Image.png,0
train/benign/98 Benign Image.png,0
train/benign/76 Benign Image.png,0
train/benign/80 Benign Image.png,0
train/benign/72 Benign Image.png,0
train/benign/46 Benign Image.png,0
train/benign/106 Benign Image.png,0
train/benign/37 Benign Image.png,0
train/benign/82 Benign Image.png,0
train/benign/43 Benign Image.png,0
train/benign/108 Benign Image.png,0
train/benign/87 Benign Image.png,0
train/benign/36 Benign Image.png,0
train/benign/104 Benign Image.png,0
train/benign/101 Benign Image.png,0
train/benign/95 Benign Image.png,0
train/benign/23 Benign Image.png,0
train/benign/74 Benign Image.png,0
train/benign/40 Benign Image.png,0
train/benign/57 Benign Image.png,0
train/benign/12 Benign Image.png,0
train/benign/41 Benign Image.png,0
train/benign/60 Benign Image.png,0
train/benign/66 Benign Image.png,0
train/benign/63 Benign Image.png,0
train/benign/59 Benign Image.png,0
train/benign/26 Benign Image.png,0
train/benign/15 Benign Image.png,0
train/benign/4 Benign Image.png,0
train/benign/39 Benign Image.png,0
train/benign/29 Benign Image.png,0
train/benign/61 Benign Image.png,0
train/benign/62 Benign Image.png,0
train/benign/77 Benign Image.png,0
train/benign/33 Benign Image.png,0
train/benign/109 Benign Image.png,0
train/benign/85 Benign Image.png,0
train/benign/78 Benign Image.png,0
train/benign/102 Benign Image.png,0
train/benign/16 Benign Image.png,0
train/benign/107 Benign Image.png,0
train/benign/81 Benign Image.png,0
train/benign/6 Benign Image.png,0
train/benign/18 Benign Image.png,0
train/benign/24 Benign Image.png,0
train/benign/64 Benign Image.png,0
train/benign/20 Benign Image.png,0
train/benign/32 Benign Image.png,0
train/benign/51 Benign Image.png,0
train/benign/28 Benign Image.png,0
train/benign/25 Benign Image.png,0
train/benign/94 Benign Image.png,0
train/benign/30 Benign Image.png,0
train/benign/14 Benign Image.png,0
train/benign/88 Benign Image.png,0
train/benign/42 Benign Image.png,0
train/benign/7 Benign Image.png,0
train/benign/71 Benign Image.png,0
train/benign/11 Benign Image.png,0
train/benign/56 Benign Image.png,0
train/benign/31 Benign Image.png,0
train/benign/49 Benign Image.png,0
train/benign/92 Benign Image.png,0
train/benign/50 Benign Image.png,0
train/benign/73 Benign Image.png,0
train/benign/70 Benign Image.png,0
train/benign/1 Benign Image.png,0
train/benign/67 Benign Image.png,0
train/benign/103 Benign Image.png,0
train/benign/17 Benign Image.png,0
train/benign/45 Benign Image.png,0
train/benign/5 Benign Image.png,0
train/benign/35 Benign Image.png,0
train/benign/105 Benign Image.png,0
train/malignant/14 Malignant Image.png,1
train/malignant/75 Malignant Image.png,1
train/malignant/29 Malignant Image.png,1
train/malignant/48 Malignant Image.png,1
train/malignant/4 Malignant Image.png,1
train/malignant/47 Malignant Image.png,1
train/malignant/60 Malignant Image.png,1
train/malignant/101 Malignant Image.png,1
train/malignant/10 Malignant Image.png,1
train/malignant/23 Malignant Image.png,1
train/malignant/108 Malignant Image.png,1
train/malignant/37 Malignant Image.png,1
train/malignant/94 Malignant Image.png,1
train/malignant/54 Malignant Image.png,1
train/malignant/73 Malignant Image.png,1
train/malignant/11 Malignant Image.png,1
train/malignant/112 Malignant Image.png,1
train/malignant/62 Malignant Image.png,1
train/malignant/117 Malignant Image.png,1
train/malignant/21 Malignant Image.png,1
train/malignant/41 Malignant Image.png,1
train/malignant/85 Malignant Image.png,1
train/malignant/13 Malignant Image.png,1
train/malignant/95 Malignant Image.png,1
train/malignant/40 Malignant Image.png,1
train/malignant/63 Malignant Image.png,1
train/malignant/55 Malignant Image.png,1
train/malignant/68 Malignant Image.png,1
train/malignant/74 Malignant Image.png,1
train/malignant/28 Malignant Image.png,1
train/malignant/2 Malignant Image.png,1
train/malignant/91 Malignant Image.png,1
train/malignant/31 Malignant Image.png,1
train/malignant/56 Malignant Image.png,1
train/malignant/50 Malignant Image.png,1
train/malignant/79 Malignant Image.png,1
train/malignant/105 Malignant Image.png,1
train/malignant/44 Malignant Image.png,1
train/malignant/51 Malignant Image.png,1
train/malignant/86 Malignant Image.png,1
train/malignant/87 Malignant Image.png,1
train/malignant/96 Malignant Image.png,1
train/malignant/45 Malignant Image.png,1
train/malignant/42 Malignant Image.png,1
train/malignant/12 Malignant Image.png,1
train/malignant/35 Malignant Image.png,1
train/malignant/107 Malignant Image.png,1
train/malignant/103 Malignant Image.png,1
train/malignant/115 Malignant Image.png,1
train/malignant/9 Malignant Image.png,1
train/malignant/49 Malignant Image.png,1
train/malignant/113 Malignant Image.png,1
train/malignant/34 Malignant Image.png,1
train/malignant/39 Malignant Image.png,1
train/malignant/5 Malignant Image.png,1
train/malignant/15 Malignant Image.png,1
train/malignant/120 Malignant Image.png,1
train/malignant/76 Malignant Image.png,1
train/malignant/90 Malignant Image.png,1
train/malignant/61 Malignant Image.png,1
train/malignant/32 Malignant Image.png,1
train/malignant/6 Malignant Image.png,1
train/malignant/72 Malignant Image.png,1
train/malignant/88 Malignant Image.png,1
train/malignant/118 Malignant Image.png,1
train/malignant/16 Malignant Image.png,1
train/malignant/70 Malignant Image.png,1
train/malignant/22 Malignant Image.png,1
train/malignant/64 Malignant Image.png,1
train/malignant/66 Malignant Image.png,1
train/malignant/36 Malignant Image.png,1
train/malignant/8 Malignant Image.png,1
train/malignant/82 Malignant Image.png,1
train/malignant/114 Malignant Image.png,1
train/malignant/93 Malignant Image.png,1
train/malignant/116 Malignant Image.png,1
train/malignant/121 Malignant Image.png,1
train/malignant/84 Malignant Image.png,1
train/malignant/33 Malignant Image.png,1
train/malignant/78 Malignant Image.png,1
train/malignant/57 Malignant Image.png,1
train/malignant/38 Malignant Image.png,1
train/malignant/26 Malignant Image.png,1
train/malignant/92 Malignant Image.png,1
train/malignant/89 Malignant Image.png,1
train/malignant/71 Malignant Image.png,1
